Time,Ano,Jogos,PasseCerto,PasseErrado,Assistencia,AssistenciaFinalizacao,FinalizacaoCerto,FinalizacaoErrado,LancamentoCerto,LancamentoErrado,GolPro,Pontos
sao_paulo,2014,38,14194,1454,41,315,175,248,658,907,59,70
cruzeiro,2014,38,14055,1418,48,432,226,328,713,938,67,80
fluminense,2014,38,13573,1260,34,334,196,268,637,915,61,61
atletico-mg,2014,38,13430,1573,35,366,174,315,692,983,51,62
internacional,2014,38,12815,1355,41,366,194,284,642,1022,53,69
flamengo,2014,38,12443,1423,28,304,161,250,623,1089,46,52
corinthians,2014,38,12440,1417,35,385,206,275,653,998,49,69
gremio,2014,38,12012,1442,23,324,184,278,630,998,36,61
palmeiras,2014,38,11874,1597,24,346,167,277,484,855,34,40
santos,2014,38,11657,1273,34,335,175,258,641,1018,42,53
sport,2014,38,11543,1422,22,350,162,309,735,1005,36,52
bahia,2014,38,11352,1157,21,299,154,266,669,1054,31,37
vitoria,2014,38,11021,1543,23,267,148,237,649,1164,37,38
coritiba,2014,38,10778,1466,31,361,192,284,527,1076,42,47
goias,2014,38,10744,1365,32,269,150,222,645,1139,38,47
chapecoense,2014,38,10482,1349,28,322,149,286,625,1039,39,43
criciuma,2014,38,10360,1361,21,296,155,260,578,1052,28,32
botafogo,2014,38,9909,1428,17,265,157,248,629,934,31,34
atletico-pr,2014,38,9874,1370,32,275,151,247,618,1172,43,54
figueirense,2014,38,9134,1434,26,287,154,222,636,1088,37,47
sao_paulo,2013,38,14032,1332,25,378,162,307,753,848,39,50
corinthians,2013,38,13067,1590,16,328,157,287,736,1095,27,50
internacional,2013,38,12801,1279,28,390,221,333,750,1057,51,48
cruzeiro,2013,38,12707,1490,51,438,266,333,721,948,77,76
fluminense,2013,38,12476,1251,27,369,184,324,680,1031,43,46
botafogo,2013,38,12201,1543,40,400,217,346,839,1082,55,61
coritiba,2013,38,12166,1284,29,349,167,291,596,1007,42,48
santos,2013,38,11979,1315,40,368,180,300,705,1002,51,57
flamengo,2013,38,11605,1340,33,393,176,332,695,1146,43,45
vasco,2013,38,10855,1483,32,307,170,294,576,1142,50,44
atletico-mg,2013,38,10848,1507,31,338,182,300,780,1121,49,57
gremio,2013,38,10629,1361,27,293,169,254,635,1243,42,65
vitoria,2013,38,10532,1295,41,339,181,321,737,1188,59,59
ponte_preta,2013,38,10505,1309,25,314,175,277,617,1080,37,37
bahia,2013,38,10306,1537,26,314,157,281,783,1094,37,48
portuguesa,2013,38,10213,1328,35,346,189,293,806,1081,50,44
goias,2013,38,9808,1302,30,371,193,318,787,1180,48,59
nautico,2013,38,9540,1310,17,339,156,302,616,1183,22,20
criciuma,2013,38,9238,1423,24,271,156,253,600,1179,49,46
atletico-pr,2013,38,8641,1408,49,385,210,311,628,1258,65,64
sao_paulo,2012,38,13896,1435,39,387,213,293,670,799,59,66
internacional,2012,38,12885,1425,35,402,175,338,692,1075,44,52
flamengo,2012,38,12596,1525,24,345,180,282,671,1114,39,50
gremio,2012,38,11939,1401,38,380,216,294,764,1048,56,71
botafogo,2012,38,11841,1527,44,335,196,275,711,1163,60,55
palmeiras,2012,38,11684,1485,29,381,216,302,574,988,39,34
corinthians,2012,38,11535,1327,36,358,217,259,668,1138,51,57
fluminense,2012,38,11249,1184,39,358,196,279,741,1063,61,77
atletico-go,2012,38,11233,1255,27,339,164,285,596,952,37,30
santos,2012,38,11229,1362,41,333,168,267,599,1021,50,53
vasco,2012,38,10984,1342,31,329,163,289,756,1097,45,58
bahia,2012,38,10782,1324,25,369,175,294,675,1057,37,47
coritiba,2012,38,10382,1396,41,363,195,279,707,1100,53,48
atletico-mg,2012,38,10261,1274,41,405,212,334,994,1287,64,72
figueirense,2012,38,9869,1404,28,361,172,343,638,1138,39,30
cruzeiro,2012,38,9774,1454,29,343,184,271,705,1093,47,52
sport,2012,38,9639,1390,33,384,181,301,593,1135,39,41
portuguesa,2012,38,9373,1419,29,360,180,322,731,1183,39,45
ponte_preta,2012,38,8939,1353,27,386,187,328,674,1166,37,48
nautico,2012,38,8736,1135,27,365,186,355,747,1220,44,49

